Car Make,Column,Count,Mean,Median,Mode,Std,-3σ,+3σ
Suzuki,ARF_num,17,13788.411764705883,14357.0,14908.0,1141.358021110353,10364.337701374823,17212.48582803694
Suzuki,COE_num,15,25234.933333333334,17099.0,13088.0,14456.329881339012,-18134.0563106837,68603.92297735036
Suzuki,Depreciation_num,7,6208.571428571428,6360.0,7030.0,690.203558655671,4137.960752604416,8279.182104538442
Suzuki,Engine Cap_num,17,1560.9411764705883,1586.0,1586.0,70.73848898251511,1348.725709523043,1773.1566434181336
Suzuki,Mileage_num,8,11147899.2375,11361561.0,11200011.0,5509945.951973758,-5381938.618421271,27677737.093421273
Suzuki,No. of Owners_num,17,2.5294117647058822,2.0,2.0,1.0675700831106785,-0.6732984846261534,5.732122014037918
Suzuki,OMV_num,17,14312.411764705883,14518.0,14908.0,1437.4470885402848,10000.070499085028,18624.753030326738
Suzuki,Power_num,17,76.66690588235295,75.01,75.01,4.631077062286727,62.77367469549277,90.56013706921313
Suzuki,Price_num,8,33048.375,31300.0,33800.0,13010.225779719802,-5982.302339159403,72079.0523391594
Suzuki,Road Tax_num,17,846.8235294117648,883.0,810.0,116.88040644934765,496.18231006372184,1197.4647487598077
Toyota,ARF_num,1376,15184.71148255814,15201.0,19990.0,4590.82203361593,1412.2453817103487,28957.17758340593
Toyota,COE_num,1250,30980.344,25525.0,16170.0,16366.17857581312,-18118.19172743936,80078.87972743936
Toyota,Depreciation_num,340,7040.058823529412,6995.0,7360.0,1304.3722693995578,3126.9420153307383,10953.175631728085
Toyota,Engine Cap_num,1376,1556.7521802325582,1598.0,1598.0,106.64829707018487,1236.8072890220037,1876.6970714431127
Toyota,Mileage_num,371,9336840.177897574,10237810.3,88.0,6712623.256616389,-10801029.591951592,29474709.94774674
Toyota,No. of Owners_num,1376,2.457122093023256,2.0,1.0,1.3210106884127146,-1.505909972214888,6.4201541582614
Toyota,OMV_num,1376,15752.85683139535,15510.0,19589.0,3572.244516398953,5036.12328219849,26469.590380592206
Toyota,Power_num,1364,84.01557631964809,81.0108,80.0107,8.318403457752366,59.060365946390995,108.9707866929052
Toyota,Price_num,523,40691.5965583174,36800.0,38800.0,24110.81904297591,-31640.860570610326,113024.05368724512
Toyota,Road Tax_num,1372,832.0437317784257,818.0,742.0,179.3164331746723,294.09443225440873,1369.9930313024427
Volkswagen,ARF_num,190,18673.147368421054,20525.0,21214.0,5986.992842014842,712.1688423765299,36634.12589446558
Volkswagen,COE_num,176,51225.22727272727,53000.5,56989.0,13757.844079632556,9951.695033829608,92498.75951162493
Volkswagen,Depreciation_num,12,7117.5,6685.0,6180.0,1821.9376548559005,1651.6870354322982,12583.312964567702
Volkswagen,Engine Cap_num,190,1400.536842105263,1390.0,1390.0,75.57585775688706,1173.8092688346019,1627.2644153759243
Volkswagen,Mileage_num,62,8117721.898387098,7550014.300000001,7900018.5,5042772.679528153,-7010596.14019736,23246039.936971556
Volkswagen,No. of Owners_num,190,1.8578947368421053,2.0,1.0,0.9951287648853848,-1.1274915578140494,4.84328103149826
Volkswagen,OMV_num,190,20690.0,20549.0,20867.0,2782.6594907156427,12342.021527853072,29037.978472146926
Volkswagen,Power_num,189,96.42556825396824,90.012,90.012,12.63142336683735,58.53129815345619,134.31983835448028
Volkswagen,Price_num,76,51327.98684210526,51844.0,58800.0,20242.082088884974,-9398.259424549666,112054.23310876018
Volkswagen,Road Tax_num,190,641.1894736842105,620.0,620.0,105.39412498679474,325.0070987238263,957.3718486445947
